objectid,ttwa11cd,ttwa11nm,st_areashape,st_lengthshape
57,E30000196,Crawley,1456419007.76221,276696.931865606
145,E30000290,Workington,848390888.539191,145199.061660832
58,E30000197,Crewe,850449762.888321,192148.348038671
59,E30000198,Cromer and Sheringham,526423673.815608,163368.203321971
60,E30000199,Darlington,401395408.750547,149888.458990346
61,E30000200,Derby,932298657.980707,200886.190588628
62,E30000201,Doncaster,567251596.763787,115453.055606636
63,E30000202,Dudley,278653199.99608,97290.2480258141
64,E30000203,Durham and Bishop Auckland,1716791890.24131,285721.795858478
65,E30000204,Eastbourne,619215197.763831,150574.726417552
66,E30000205,Evesham,695099320.299703,192891.823725317
107,E30000249,Nottingham,826346460.171656,171104.603477763
67,E30000206,Exeter,2468377084.52197,379745.77573436
68,E30000208,Folkestone and Dover,482266750.706896,163503.569220747
69,E30000209,Gloucester,688203309.108231,175418.514457314
70,E30000210,Great Yarmouth,263771307.781,110112.079506585
71,E30000211,Grimsby,765362576.094435,171097.941796906
72,E30000212,Guildford and Aldershot,1213017781.23874,204285.821132175
73,E30000214,Harrogate,1035012369.2555,192071.478720046
74,E30000215,Hartlepool,103406005.164329,60305.5097991594
115,E30000258,Salisbury,1217811505.48889,230976.027859957
75,E30000216,Hereford,1832797543.11963,264642.528672026
76,E30000218,High Wycombe and Aylesbury,754904974.954406,161960.52295038
77,E30000219,Huddersfield,371385489.434915,95508.9514274445
78,E30000220,Hull,1632243479.8155,307977.187475675
79,E30000221,Huntingdon,875792230.953189,191181.609539519
80,E30000222,Ipswich,1771072894.64743,278582.060252578
81,E30000223,Kendal,1083192345.86088,240549.138444324
82,E30000224,Kettering and Wellingborough,569016583.190636,151908.322141146
116,E30000259,Scarborough,351279006.269253,109712.106247589
83,E30000225,King's Lynn,1586639403.81677,293148.721778129
84,E30000226,Kingsbridge and Dartmouth,418881575.59616,108716.475570925
85,E30000227,Launceston,699811311.726796,190984.998277986
86,E30000228,Leamington Spa,1148283384.46668,250930.699092442
87,E30000229,Leeds,648380380.171897,178301.61234004
